Genus
Bryobacter
Nov-24
PAUC26f
RB41
Stenotrophobacter
uncultured_Acidobacteria_bacterium
Actinocorallia
Actinomyces
Actinotalea
Arcanobacterium
Atopobium
Bifidobacterium
Blastococcus
Brevibacterium
Candidatus_Limnoluna
Conyzicola
Corynebacterium
Corynebacterium_1
Dermacoccus
Dermacoccus_sp._Ellin183
Dietzia
Friedmanniella
Gardnerella
Georgenia
Gordonia
Iamia
Isoptericola
Jatrophihabitans
Knoellia
Kocuria
Lawsonella
Marmoricola
Microbacterium
Microbispora
Modestobacter
Modestobacter_sp._SBT363
Mycobacterium
Nesterenkonia
Nesterenkonia_sp._HL93
Nesterenkonia_sp._YIM_90713
Nocardioides
Nonomuraea
Olsenella
Patulibacter
Pseudoclavibacter
Quadrisphaera
Rhodococcus
Rothia
Serinicoccus
Solirubrobacter
Streptomyces
Tessaracoccus
Turicella
uncultured_actinobacterium
uncultured_Frankineae_bacterium
Varibaculum_sp._CCUG_45114
Zimmermannella
Zimmermannella_sp._M11
uncultured_Verrucomicrobia_bacterium
Alloprevotella
Bacteroides
Bergeyella
Capnocytophaga
Chryseobacterium
Cloacibacterium
Cnuella
Cytophaga
Dysgonomonas
Flavisolibacter
Flavobacterium
Gracilimonas
Hymenobacter
Lacibacter
Mucilaginibacter
Mucilaginibacter_sp._HME6837
Mucilaginibacter_sp._HME7565
Nibrella
Nibribacter
Ohtaekwangia
Paludibacter
Parabacteroides
Parasegetibacter
Pedobacter
Petrimonas
Pontibacter
Porphyromonas
Prevotella
Prevotella_2
Prevotella_7
Proteiniphilum
Rikenellaceae_RC9_gut_group
Runella
Salinibacter
Salinimicrobium
Sediminibacterium
Sediminibacterium_sp._XWS-42
Segetibacter
Solitalea
Sphingobacterium
Spirosoma
Sporocytophaga
Taibaiella
Terrimonas
uncultured_Bacteroidetes_bacterium
uncultured_Ferruginibacter_sp.
uncultured_Flavobacteriales_bacterium
uncultured_Fluviicola_sp.
uncultured_Myroides_sp.
uncultured_Pedobacter_sp.
uncultured_Sphingobacteriia_bacterium
Roseiflexus
uncultured_organism
Chroococcidiopsis
Chroococcus_sp._CCALA_702
Leptolyngbya
Limnothrix
Lyngbya
Phormidium
Pseudoleptolyngbya_sp._Kh.T.2
uncultured_cyanobacterium
Wilmottia_sp._UIC_10069
Deinococcus_sp._R07
Meiothermus
uncultured_Deinococci_bacterium
uncultured_Deinococcus_sp.
Abiotrophia
Aeribacillus_sp._SSL096201
Aerococcus
Alloiococcus
Ammoniphilus
Anaerococcus
Anoxybacillus
Bacillus
Bacillus_sp._EC15
Bacillus_sp._FJAT-22370
Bacillus_sp._JC267
Bacillus_sp._NCCP-93
Bacillus_sp._WRB-4
Bhargavaea_sp._B11
Blautia
Christensenellaceae_R-7_group
Clostridium_sensu_stricto_1
Clostridium_sensu_stricto_11
Clostridium_sensu_stricto_12
Clostridium_sensu_stricto_8
Clostridium_sp._C4/1
Desemzia
Desulfotomaculum
Dialister
Dolosigranulum
Enterococcus
Eremococcus
Faecalibacterium
Filifactor
Finegoldia
Fusicatenibacter
Gemella
Granulicatella
Ignavigranum
Johnsonella
Kroppenstedtia_sp._STS2
Lacticigenium
Lactobacillus
Lactococcus
Lutispora
Lysinibacillus
Macrococcus
Megasphaera
Mobilitalea
Mogibacterium
Oxobacter
Paenibacillus
Parvimonas
Pelosinus
Peptoniphilus
Planococcus
Risungbinella
Roseburia
Ruminiclostridium_1
Ruminococcaceae_NK4A214_group
Ruminococcaceae_UCG-013
Ruminococcaceae_UCG-014
Ruminococcus_1
Saccharofermentans
Salinibacillus_sp._BH128
Selenomonas_3
Shimazuella
Solibacillus
Solobacterium
Sporolactobacillus
Staphylococcus
Streptococcus
Terribacillus
Thermoactinomyces
Trichococcus
Tumebacillus
Turicibacter
uncultured_Acetivibrio_sp.
uncultured_Anaerovorax_sp.
uncultured_Bacillus_sp.
uncultured_Clostridia_bacterium
uncultured_Clostridiales_bacterium
uncultured_Clostridium_sp.
uncultured_compost_bacterium
uncultured_Trichococcus_sp.
Veillonella
Virgibacillus
Weissella
Fusobacterium
Leptotrichia
Longimicrobium
uncultured_Gemmatimonas_sp.
Candidatus_Methylomirabilis
Nitrospira
Candidatus_Omnitrophus
Pir4_lineage
Pirellula
uncultured_Planctomycetales_bacterium
uncultured_planctomycete
Achromobacter
Acidiphilium
Acidocella
Acidovorax
Acinetobacter
Aeromonas
Afipia
Agaricicola
Aggregatibacter
Alcanivorax_sp._B-3025
Alicycliphilus
Alkanindiges
Altererythrobacter
Amaricoccus
Anaeromyxobacter
Aquicella
Arenimonas
Asticcacaulis
Azospirillum
Bordetella
Bordetella_genomosp._13
Bordetella_sp._R-8
Bosea
Bradyrhizobium
Bradyrhizobium_sp._maam-3
Brevundimonas
Budvicia
Burkholderia-Paraburkholderia
Byssovorax
Campylobacter
Candidatus_Riegeria
Cardiobacterium
Cellvibrio
Comamonas
Coxiella
Craurococcus
Craurococcus_sp._HM28-1
Cronobacter
Cupriavidus
Dechloromonas
Defluviicoccus
Defluviimonas
Delftia
Devosia
Diaphorobacter
Eikenella
Enhydrobacter
Erwinia
Escherichia-Shigella
G55
GKS98_freshwater_group
H16
Haemophilus
Haliangium
Halioglobus
Herbaspirillum
Herbaspirillum_sp._TS7
Herminiimonas
Hirschia
Hydrogenophaga
Hyphomicrobium
Ideonella
Ideonella_sp._OTSz_A_250
Janthinobacterium
Klebsiella
Lautropia
Legionella
Limnobacter
Litoricola
Luteimonas
Lysobacter
Magnetospirillum
Marinimicrobium
Massilia
Meganema
Methylobacter
Methylobacterium
Methylobacterium_sp._679
Methylocapsa
Methylophilus
Microvirga
Neisseria
Nevskia
Nitrobacter_sp._PBAB10
Nordella
Noviherbaspirillum
Novosphingobium
Novosphingobium_sp._F72
Ochrobactrum
Ottowia
Paracoccus
Paracoccus_sp._91_16
Paracoccus_sp._CCGE3098
Paracoccus_sp._MC5-8
Pectobacterium
Pelagibius
Perlucidibaca
Phenylobacterium
Phenylobacterium_sp._BJC15-D9
Phreatobacter
Phyllobacterium
Plesiomonas
Polaromonas
Polyangium
Polymorphobacter
Proteus
Pseudomonas
Pseudoxanthomonas
Psychrobacter
Rahnella
Ralstonia
Ralstonia_sp._1-6
Ralstonia_sp._juv952
Reyranella
Rheinheimera
Rhizobium
Rhizomicrobium
Rhizorhapis
Rhodobacter
Rhodopseudomonas
Rickettsia
Roseateles
Roseomonas
Rubellimicrobium
Rubritepida
Serratia
Shewanella
Shewanella_sp._Asc-3_ASCBAC
Sorangium
Sphaerotilus
Sphaerotilus_sp._IMCC12769
Sphingobium
Sphingomonas
Sphingomonas_sp._BAC310
Sphingomonas_sp._UYEF32
Sphingopyxis
Sphingorhabdus
Stenotrophomonas
Steroidobacter
Sulfitobacter
Tepidimonas
uncultured_Acetobacteraceae_bacterium
uncultured_alpha_proteobacterium
uncultured_Azospirillum_sp.
uncultured_beta_proteobacterium
uncultured_Bradyrhizobiaceae_bacterium
uncultured_Bradyrhizobium_sp.
uncultured_delta_proteobacterium
uncultured_gamma_proteobacterium
uncultured_Methylocystaceae_bacterium
uncultured_Phaeospirillum_sp.
uncultured_Phyllobacteriaceae_bacterium
uncultured_proteobacterium
uncultured_Ralstonia_sp.
uncultured_rape_rhizosphere_bacterium_wr0024
uncultured_Rheinheimera_sp.
uncultured_soil_bacterium
uncultured_Sphingomonas_sp.
Undibacterium
Variibacter
Variovorax
Vibrio
Vogesella
Vulcaniibacterium
Woodsholea
Xenophilus
Yersinia
Zobellella_sp._XT-19
Zoogloea
Zymomonas
Leptospira
Turneriella
Aminiphilus
Acholeplasma
Haloplasma
Mycoplasma
Candidatus_Xiphinematobacter
Chthoniobacter
Haloferula
Opitutus
Burkholderia
Clostridium
Fluviicola
Geobacillus
Leuconostoc
Limnohabitans
Mesorhizobium
Micrococcus
N09
Thermicanus
Wautersiella
Akkermansia
Alcanivorax
Alicyclobacillus
Allobaculum
Halomonas
Marinobacter
Pseudonocardia
Aquabacterium
Aurantimonas
Beijerinckia
Caulobacter
Hoefleae
Pedomicrobium
Azoarcus
Azospira
Curvibacter
Delftiae
Duganella
Kingella
Leptothrix
Methyloversatilis
Oxalobacter
Pelomonas
Schlegelella
Sulfuritalea
Acinetobactera
Enterobacter
Escherichia
Pasteurella
Xanthomonas
Acidobacteria Predominantly unclassified Acidobacteria Gp2
Aeromicrobium
Arthrobacter
Beutenbergia
Curtobacterium
Geodermatophilus
Janibacter
Microlunatus
Propionibacterium
Tsukamurella
Dyadobacter
Hydrotalea
Niastella
Olivibacter
Deinococcus
Brevibacillus
Brochothrix
Facklamia
Ruminococcus
